cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
786-0	Homo sapiens	renal system	renal cell carcinoma	not available	not available	not available	not available	not available
A498	Homo sapiens	renal system	renal cell carcinoma; renal cancer	not available	not available	not available	not available	not available
A-549 cell	Homo sapiens	epithelium of bronchiole	lung adenocarcinoma	not available	not available	not available	not available	not available
ACHN	Homo sapiens	renal system	renal cell carcinoma; papillary renal cell carcinoma; renal cancer; renal adenocarcinoma	22 year	not available	male	not available	not available
BT549	Homo sapiens	breast; mammary gland	invasive ductal carcinoma; breast cancer; breast ductal adenocarcinoma	72	not available	not available; female	not available
CCRFCEM	Homo sapiens	lymphatic part of lymphoid system	childhood T acute lymphoblastic leukemia; leukemia	not available	not available	not available	not available	not available
Caki1	Homo sapiens	renal system	renal cell carcinoma	not available	not available	not available	not available	not available
COLO205	Homo sapiens	colorectum	colorectal adenocarcinoma; colorectal cancer	not available	not available	not available	not available	not available
DU 145	Homo sapiens	prostate gland	prostate carcinoma	69 year	not available	male	not available	not available
EKVX	Homo sapiens	epithelium of bronchiole	lung adenocarcinoma; non-small cell lung carcinoma; lung cancer	not available	not available	not available	not available	not available
NCI-H226	Homo sapiens	pleura	Pleural Epithelioid Mesothelioma; small cell lung carcinoma; mesothelioma	not available	not available	male	not available	not available
NCI-H23	Homo sapiens	epithelium of bronchiole	lung adenocarcinoma; non-small cell lung carcinoma	51 year	not available	male	not available	not available
NCI-H322T	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H460	Homo sapiens	lung	non-small cell lung adenocarcinoma; large cell lung carcinoma	not available	not available	male	not available	not available
NCI-H522	Homo sapiens	bronchiole	lung adenocarcinoma; non-small cell lung carcinoma	58 year	not available	male	not available	not available
HCC2998	Homo sapiens	colorectum	colorectal adenocarcinoma; colorectal cancer	not available	not available	male	not available	not available
HCT116	Homo sapiens	colonic mucosa; colon	colorectal adenocarcinoma; colorectal cancer; colon carcinoma	48	adult	male	not available
HCT15	Homo sapiens	colorectum	colorectal adenocarcinoma; colorectal cancer; colon adenocarcinoma	not available	not available	not available	not available	not available
HL-60	Homo sapiens	bone marrow; blood	adult acute myeloid leukemia; leukemia; acute promyelocytic leukemia	not available; 36	adult	not available; female	not available
HOP62	Homo sapiens	epithelium of bronchiole	lung adenocarcinoma; lung cancer	not available	not available	not available	not available	not available
HOP92	Homo sapiens	lung	non-small cell lung carcinoma; lung cancer	not available	not available	not available	not available	not available
HS578T	Homo sapiens	breast	invasive ductal carcinoma; breast cancer	not available	not available	not available	not available	not available
HT-29	Homo sapiens	rectum	rectosigmoid adenocarcinoma; colorectal adenocarcinoma; colon adenocarcinoma	not available	not available	female	not available	not available
IGROV-1	Homo sapiens	ovary	Ovarian Endometrioid Adenocarcinoma; ovarian carcinoma	47 year	adult	female	not available	not available
K562	Homo sapiens	blood; bone marrow	chronic myelogenous leukemia; leukemia	53	adult	female	not available
KM12	Homo sapiens	colonic mucosa	colorectal adenocarcinoma; colon carcinoma; colorectal cancer	not available	not available	not available	not available	not available
LOXIMVI	Homo sapiens	lymph node	amelanotic melanoma; melanoma	not available	not available	not available	not available	not available
M14	Homo sapiens	skin	amelanotic melanoma; melanoma	not available	not available	male	not available	not available
Malme3M	Homo sapiens	lung	metastatic melanoma	not available	not available	not available	not available	not available
MCF7AdrR	Homo sapiens	fallopian tube	high grade ovarian serous adenocarcinoma	not available	not available	not available	not available	not available
MCF-7	Homo sapiens	pleura; mammary gland	invasive ductal carcinoma; breast adenocarcinoma; invasive breast ductal carcinoma	40 year	not available	female; not available	not available
MDAMB231	Homo sapiens	breast; mammary gland	breast adenocarcinoma; breast cancer	51	not available; adult	not available; female	not available	MDA-MB-231
MDAMB435	Homo sapiens	skin	amelanotic melanoma; melanoma	not available	not available	not available	not available	not available
MOLT-4	Homo sapiens	lymphoid tissue	adult T acute lymphoblastic leukemia; acute lymphoblastic leukemia	not available	not available	male	not available	not available
OVCAR3	Homo sapiens	fallopian tube	high grade ovarian serous adenocarcinoma; ovarian cancer	not available	adult	female	not available	not available
OVCAR4	Homo sapiens	fallopian tube	high grade ovarian serous adenocarcinoma; ovarian cancer	not available	not available	not available	not available	not available
OVCAR5	Homo sapiens	fallopian tube	high grade ovarian serous adenocarcinoma; ovarian cancer	not available	adult	female	not available	not available
OVCAR8	Homo sapiens	fallopian tube; ovary	high grade ovarian serous adenocarcinoma; ovarian cancer				not available
PC-3	Homo sapiens	prostate gland; prostate	prostate carcinoma; prostate adenocarcinoma	62 year; 62	adult	male	not available
RPMI8226	Homo sapiens	blood plasma	multiple myeloma; leukemia	not available	not available	not available	not available	not available
RXF393L	Homo sapiens	proximal renal artery	renal cell carcinoma	not available	not available	not available	not available	not available
SF268	Homo sapiens	central nervous system	astrocytoma; central nervous system cancer; glioma	not available	not available	not available	not available	not available
SF295	Homo sapiens	embryonic central brain glia	glioblastoma multiforme; central nervous system cancer	not available	not available	not available	not available	not available
