cellosaurus name	cellosaurus accession	bto cell line	organism	age	developmental stage	sex	ancestry category	disease	cell type	sampling site	synonyms
07-02 fibroblast	CVCL_A4QY	not available	Homo sapiens	46Y	not available	Female	not available	not available	skin fibroblast	Arm, skin	not available
07-02 iPS #10	CVCL_A4RB	not available	Homo sapiens	46Y	not available	Female	not available	not available	skin fibroblast	Arm, skin	07-02#10; i07-02#10
07-02 iPS #3	CVCL_A4QZ	not available	Homo sapiens	46Y	not available	Female	not available	not available	skin fibroblast	Arm, skin	07-02#3; i07-02#3
07-02 iPS #5	CVCL_A4RA	not available	Homo sapiens	46Y	not available	Female	not available	not available	skin fibroblast	Arm, skin	07-02#5; i07-02#5
07-03 fibroblast	CVCL_A2ZB	not available	Homo sapiens	6Y	not available	Male	not available	Autism spectrum disorder	skin fibroblast	Arm, skin	not available
07-03 iPS #3	CVCL_A2ZC	not available	Homo sapiens	6Y	not available	Male	not available	Autism spectrum disorder	skin fibroblast	Arm, skin	07-03#3; i07-03#3
07-03 iPS #7	CVCL_A2ZD	not available	Homo sapiens	6Y	not available	Male	not available	Autism spectrum disorder	skin fibroblast	Arm, skin	07-03#7; i07-03#7
07-03 iPS #9	CVCL_A2ZE	not available	Homo sapiens	6Y	not available	Male	not available	Autism spectrum disorder	skin fibroblast	Arm, skin	07-03#9; i07-03#9
07-S-0025#0100	CVCL_6G61	not available	Homo sapiens	not available	Age unspecified	Sex	not available	not available	not available	Peripheral blood	not available
0822	CVCL_IP59	0822 cell	Homo sapiens	not available	Age unspecified	Sex	not available	Glioblastoma	not available	Brain	0822-GSC; GSC-0822; GSC-0822 cell
090727 LQT3/BrS g1	CVCL_T913	not available	Homo sapiens	not available	not available	not available	not available	Long QT syndrome 3	not available	not available	not available
090727 LQT3/BrS g2	CVCL_T914	not available	Homo sapiens	not available	not available	not available	not available	Long QT syndrome 3	not available	not available	not available
09097B	CVCL_VG29	not available	Homo sapiens	63Y	not available	Male	not available	not available	skin fibroblast	Skin, dermis	not available
09097C	CVCL_VG25	not available	Homo sapiens	26Y	not available	Female	not available	Costello syndrome	skin fibroblast	Skin, dermis	not available
1-11	CVCL_C0WE	not available	Homo sapiens	20Y	not available	Female	not available	not available	fibroblast of peridontal ligament	Tooth, periodontal ligament	not available
1-17	CVCL_C0WF	not available	Homo sapiens	20Y	not available	Female	not available	not available	fibroblast of peridontal ligament	Tooth, periodontal ligament	not available
1-185-37	CVCL_C5PU	not available	Homo sapiens	not available	not available	not available	not available	Myasthenia gravis	not available	Peripheral blood	not available
1-187-29	CVCL_C5PV	not available	Homo sapiens	not available	not available	not available	not available	Myasthenia gravis	not available	Peripheral blood	not available
1-24	CVCL_C0WG	not available	Homo sapiens	20Y	not available	Female	not available	not available	fibroblast of peridontal ligament	Tooth, periodontal ligament	not available
1-4	CVCL_C0WH	not available	Homo sapiens	20Y	not available	Female	not available	not available	fibroblast of peridontal ligament	Tooth, periodontal ligament	not available
1-5c-4	CVCL_2260	not available	Homo sapiens	30Y6M	not available	Female	African American	Human papillomavirus-related cervical adenocarcinoma	not available	Uterus, cervix	Clone 1-5c-4; Clone 1-5c-4 WKD of Chang Conjunctiva; Wong-Kilbourne derivative of Chang conjunctiva; ChWK
1-87	CVCL_D231	not available	Homo sapiens	not available	Age unspecified	Sex	Japanese	Lung adenocarcinoma	not available	not available	not available
1-LN	CVCL_L211	1-LN cell	Homo sapiens	62Y	not available	Male	Caucasian	Prostate carcinoma	not available	Bone	1LN; 1-LN-PC-3-1A; 1LN-PC31A; 1-LN-PC-3-1A cell; 1LN cell; 1LN-PC31A cell
1.11	CVCL_C8GH	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Renal cell carcinoma	not available	Kidney	not available
1.18	CVCL_C8GI	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Renal cell carcinoma	not available	Kidney	not available
1.24	CVCL_C8GJ	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Renal cell carcinoma	not available	Kidney	not available
1.26	CVCL_C8GK	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Renal cell carcinoma	not available	Kidney	not available
1.2B4	CVCL_2258	not available	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available
1.4E7	CVCL_2259	not available	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available
10-15	CVCL_D1H0	not available	Homo sapiens	42Y	not available	Male	not available	NUT carcinoma	not available	Pleural effusion	NMC1015
10.014 pRSV-T	CVCL_6341	not available	Homo sapiens	not available	Age unspecified	Male	not available	not available	corneal epithelial cell	Eye, cornea, epithelium	10.014; HCE-T; Human Corneal Epithelial cells-Transfected
100-1#16	CVCL_T867	not available	Homo sapiens	106Y	not available	Female	not available	not available	skin fibroblast	Skin, dermis	100-1 #16
100-1#8	CVCL_T866	not available	Homo sapiens	106Y	not available	Female	not available	not available	skin fibroblast	Skin, dermis	100-1 #8
100-2#1	CVCL_T868	not available	Homo sapiens	109Y	not available	Female	not available	not available	skin fibroblast	Skin, dermis	100-2 #1
1000T	CVCL_A1ZY	not available	Homo sapiens	83Y	not available	Male	not available	Lung small cell carcinoma	not available	Bone marrow	not available
100213 LQT2 theta10	CVCL_T915	not available	Homo sapiens	not available	not available	not available	not available	Long QT syndrome 2	not available	not available	not available
100213 LQT2 theta4	CVCL_T916	not available	Homo sapiens	not available	not available	not available	not available	Long QT syndrome 2	not available	not available	not available
10063349	CVCL_6G62	not available	Homo sapiens	not available	Age unspecified	Male	not available	not available	not available	Peripheral blood	not available
1007P	CVCL_WM18	not available	Homo sapiens	70Y	not available	Male	not available	Cutaneous melanoma	not available	Leg, skin	not available
101-87T	CVCL_A2AA	not available	Homo sapiens	72Y	not available	Female	not available	Lung squamous cell carcinoma	not available	Lung	not available
1011-mel	CVCL_7942	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1011-MEL; 1011 mel; 1011mel; 1011; Mel 1011
1013	CVCL_B3UR	not available	Homo sapiens	not available	Age unspecified	Male	not available	not available	not available	Peripheral blood	not available
1013-4FA	CVCL_A9M5	not available	Homo sapiens	36Y	not available	Male	not available	not available	skin fibroblast	Skin	1013 iPSC; ND-1; hiPSC-1
1013L	CVCL_4806	not available	Homo sapiens	not available	Age unspecified	Male	not available	Primary prostate urothelial carcinoma	not available	Prostate	1013-L; 1013 L
1016T	CVCL_6G35	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Bladder carcinoma	not available	Urinary bladder	not available
1019SeVF	CVCL_A9M3	not available	Homo sapiens	26Y	not available	Male	not available	Type 1 diabetes mellitus	skin fibroblast	Skin	T1D-1
1020A1	CVCL_UP42	not available	Homo sapiens	not available	not available	not available	not available	not available	T cell	Peripheral blood	not available
1020A12	CVCL_UP40	not available	Homo sapiens	not available	not available	not available	not available	not available	T cell	Peripheral blood	not available
1020A3	CVCL_UP41	not available	Homo sapiens	not available	not available	not available	not available	not available	T cell	Peripheral blood	not available
1021-4F-B DiPS	CVCL_A9L1	not available	Homo sapiens	28Y	not available	Male	not available	Type 1 diabetes mellitus	skin fibroblast	Skin	not available
1023SevF	CVCL_A9M6	not available	Homo sapiens	23Y	not available	Male	not available	not available	skin fibroblast	Skin	ND-3
1024-4F-A-DiPS	CVCL_A9L2	not available	Homo sapiens	25Y	not available	Female	not available	Type 1 diabetes mellitus	skin fibroblast	Skin	not available
10249M	CVCL_WM48	not available	Homo sapiens	39Y	not available	Male	not available	Melanoma	not available	Skin	not available
1026-3F-A MODY iPS	CVCL_A9L3	not available	Homo sapiens	53Y	not available	Male	not available	Hepatocyte nuclear factor 4-alpha associated monogenic diabetes	skin fibroblast	Skin	MODY-1
1026-3F-C MODY iPS	CVCL_A9L4	not available	Homo sapiens	53Y	not available	Male	not available	Hepatocyte nuclear factor 4-alpha associated monogenic diabetes	skin fibroblast	Skin	1026-3FC; MODY-2
1027-3F-C-DiPS	CVCL_A9L5	not available	Homo sapiens	23Y	not available	Female	not available	Type 1 diabetes mellitus	skin fibroblast	Skin	not available
1027B3	CVCL_RY14	not available	Homo sapiens	not available	not available	Male	not available	not available	not available	Peripheral blood	not available
1027B4	CVCL_RY15	not available	Homo sapiens	not available	not available	Male	not available	not available	not available	Peripheral blood	not available
1027B6	CVCL_RY16	not available	Homo sapiens	not available	not available	Male	not available	not available	not available	Peripheral blood	not available
1028-3F-A-DiPS	CVCL_A9L6	not available	Homo sapiens	46Y	not available	Male	not available	Type 1 diabetes mellitus	skin fibroblast	Skin	not available
103-LCL	CVCL_6751	not available	Homo sapiens	not available	Age unspecified	Male	not available	not available	not available	Peripheral blood	not available
1031SeVA	CVCL_A9M2	not available	Homo sapiens	29Y	not available	Male	not available	Type 1 diabetes mellitus	skin fibroblast	Skin	T1D-2
10326	CVCL_C8Z0	not available	Homo sapiens	not available	not available	not available	not available	NUT carcinoma	not available	not available	not available
1039A1	CVCL_RL23	not available	Homo sapiens	not available	not available	Male	not available	not available	not available	Peripheral blood	not available
1041SeVF	CVCL_A9M4	not available	Homo sapiens	25Y	not available	Male	not available	Type 1 diabetes mellitus	skin fibroblast	Skin	T1D-3
10538P	CVCL_WM22	not available	Homo sapiens	55Y	not available	Female	not available	Cutaneous melanoma	not available	Leg, skin	not available
105AJ	CVCL_M609	not available	Homo sapiens	66Y	not available	Male	not available	Chondrosarcoma	not available	Bone, distal femur	not available
105AJ1.1	CVCL_M610	not available	Homo sapiens	66Y	not available	Male	not available	Chondrosarcoma	not available	Bone, distal femur	not available
105AJ3.1	CVCL_M611	not available	Homo sapiens	66Y	not available	Male	not available	Chondrosarcoma	not available	Bone, distal femur	not available
105AJ5.1	CVCL_M612	not available	Homo sapiens	66Y	not available	Male	not available	Chondrosarcoma	not available	Bone, distal femur	not available
105KC	CVCL_M605	not available	Homo sapiens	66Y	not available	Male	not available	Chondrosarcoma	not available	Bone, distal femur	105 KC; KC
105MA	CVCL_ZT98	not available	Homo sapiens	58Y	not available	Male	not available	not available	skin fibroblast	Skin	105 MAnchester
1061 mel	CVCL_C7W6	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Cutaneous melanoma	not available	not available	not available
1066	CVCL_E424	not available	Homo sapiens	not available	Age unspecified	Sex	African American	not available	B cell	Peripheral blood	DUGE
1067 mel	CVCL_C7W7	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Cutaneous melanoma	not available	not available	not available
1072F	CVCL_6G38	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Renal cell carcinoma	not available	Bone	not available
1074-mel	CVCL_GR77	not available	Homo sapiens	26Y	not available	Female	not available	Melanoma	not available	Lymph node	1074-MEL; 1074 mel; 1074mel; 1074MEL
1083933x	CVCL_JD58	not available	Homo sapiens	not available	Age unspecified	Male	not available	not available	not available	Peripheral blood	31704; 32399; TER321; TER-321; Ter 321; TER396; TER-396; Ter-396; Ter 396
10843566	CVCL_JD19	not available	Homo sapiens	not available	Age unspecified	Male	not available	not available	not available	Peripheral blood	TER305; TER-305; Ter 305; TER358; TER-358; Ter 358; TER440; TER-440; Ter-440; Ter 440
1088-mel	CVCL_8029	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1088-MEL; 1088 Mel; 1088 mel; 1088
108Z	CVCL_UT49	not available	Homo sapiens	not available	Age unspecified	Female	not available	Endometriosis	epithelial cell	Endometrium, epithelium	108-Z
109-87T	CVCL_A2AB	not available	Homo sapiens	64Y	not available	Male	not available	Lung squamous cell carcinoma	not available	Lung	not available
10913246	CVCL_JD60	not available	Homo sapiens	not available	Age unspecified	Female	not available	not available	not available	Peripheral blood	30692; Extract 395
1096	CVCL_B3US	not available	Homo sapiens	not available	Age unspecified	Male	not available	Retinitis pigmentosa	not available	Peripheral blood	not available
109MA	CVCL_ZT99	not available	Homo sapiens	52Y	not available	Male	not available	Li-Fraumeni syndrome	skin fibroblast	Skin	109 MAnchester
10B10	CVCL_6819	not available	Homo sapiens	14Y	not available	Male	Caucasian	Childhood T acute lymphoblastic leukemia	T cell	Peripheral blood	not available
10C9 [Human lymphoma]	CVCL_R704	not available	Homo sapiens	not available	Age unspecified	Sex	not available	AIDS-related Burkitt lymphoma	B cell	Lymph node	10-C9
10CM	CVCL_VJ83	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Cutaneous melanoma	not available	not available	10 CM
11 029	CVCL_A0XD	not available	Homo sapiens	43Y	not available	Male	not available	Glioblastoma	not available	Brain, right occipital lobe	not available
11 030	CVCL_A0XE	not available	Homo sapiens	71Y	not available	Female	not available	Glioblastoma	not available	not available	not available
11 045	CVCL_A0XF	not available	Homo sapiens	62Y	not available	Male	not available	Glioblastoma	not available	Brain, left temporal lobe	not available
11 068	CVCL_A0XG	not available	Homo sapiens	68Y	not available	Male	not available	Glioblastoma	not available	Brain, right temporal lobe	not available
11 091	CVCL_A0XH	not available	Homo sapiens	79Y	not available	Female	not available	Glioblastoma	not available	not available	not available
11-18	CVCL_6659	not available	Homo sapiens	not available	Age unspecified	Sex	Japanese	Lung adenocarcinoma	not available	Lung	II-18
11-18-ER1-7	CVCL_D856	not available	Homo sapiens	not available	Age unspecified	Sex	Japanese	Lung adenocarcinoma	not available	Lung	11-18/ER1-7
11-18-ER2-1	CVCL_D857	not available	Homo sapiens	not available	Age unspecified	Sex	Japanese	Lung adenocarcinoma	not available	Lung	11-18/ER2-1
11-18-GEF10-1	CVCL_D776	not available	Homo sapiens	not available	Age unspecified	Sex	Japanese	Lung adenocarcinoma	not available	Lung	11-18/GEF10-1
11-18-GEF20-1	CVCL_D777	not available	Homo sapiens	not available	Age unspecified	Sex	Japanese	Lung adenocarcinoma	not available	Lung	11-18/GEF20-1
11-18/R	CVCL_S745	not available	Homo sapiens	not available	Age unspecified	Sex	Japanese	Lung adenocarcinoma	not available	Lung	11-18R; 11-18/ER
11-4	CVCL_2819	not available	Homo sapiens	30Y6M	not available	Female	African American	Human papillomavirus-related cervical adenocarcinoma	not available	Uterus, cervix	not available
11-9-1-4	CVCL_5948	11-9-1-4 cell	Homo sapiens	72Y	not available	Female	Caucasian	Invasive breast carcinoma of no special type	not available	Breast	11.9.14; BT-549Gal3
11-YX-1	CVCL_WG97	not available	Homo sapiens	72Y	not available	Female	Caucasian	Invasive breast carcinoma of no special type	not available	Breast	not available
110-87T	CVCL_A2AC	not available	Homo sapiens	72Y	not available	Male	not available	Lung adenosquamous carcinoma	not available	Lung	not available
110119B	CVCL_VG30	not available	Homo sapiens	44Y	not available	Male	not available	not available	skin fibroblast	Skin, dermis	not available
110131C	CVCL_VG27	not available	Homo sapiens	1Y	not available	Female	not available	Costello syndrome	skin fibroblast	Skin, dermis	not available
110150C	CVCL_VG26	not available	Homo sapiens	1Y	not available	Female	not available	Costello syndrome	skin fibroblast	Skin, dermis	not available
1102-mel	CVCL_8030	1102 cell	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1102-MEL; 1102 mel; 1102mel; 1102; Mel-1102; MEL1102
1106-mel	CVCL_GR78	not available	Homo sapiens	46Y	not available	Male	not available	Melanoma	not available	Hypodermis	1106 mel; 1106mel; 1106MEL
11060	CVCL_C9CM	not available	Homo sapiens	29Y	not available	not available	not available	NUT carcinoma	not available	Pleural effusion	NMC 11060
110MA	CVCL_ZU00	not available	Homo sapiens	18Y	not available	Female	not available	Li-Fraumeni syndrome	skin fibroblast	Skin	110 Manchester
111 BLCL	CVCL_E341	not available	Homo sapiens	not available	Age unspecified	Male	Caucasian	Systemic lupus erythematosus	not available	Peripheral blood	not available
11169540	CVCL_JE03	not available	Homo sapiens	not available	Age unspecified	Male	not available	not available	not available	Peripheral blood	33941; Extract 374
1120C12	CVCL_RY17	not available	Homo sapiens	not available	not available	not available	not available	not available	not available	Peripheral blood	not available
1120C6	CVCL_RY18	not available	Homo sapiens	not available	not available	not available	not available	not available	not available	Peripheral blood	not available
1120C7	CVCL_RY19	not available	Homo sapiens	not available	not available	not available	not available	not available	not available	Peripheral blood	not available
1123-mel	CVCL_S406	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1123-MEL; 1123
1125	CVCL_E425	not available	Homo sapiens	not available	Age unspecified	Sex	not available	not available	B cell	Peripheral blood	not available
1127	CVCL_E426	not available	Homo sapiens	not available	Age unspecified	Sex	African American	not available	B cell	Peripheral blood	FUEA
11365	CVCL_VQ88	not available	Homo sapiens	not available	Age unspecified	Female	not available	not available	not available	Peripheral blood	not available
114-87T	CVCL_A2AD	not available	Homo sapiens	61Y	not available	Male	not available	Lung squamous cell carcinoma	not available	Lung	not available
1141 mel	CVCL_C7UB	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Uveal melanoma	not available	Eye, uvea	not available
1143-mel	CVCL_8031	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1143-MEL; 1143 mel; 1143
1147F1	CVCL_B7D9	not available	Homo sapiens	50Y	not available	Male	not available	not available	not available	Peripheral blood	not available
1156492+	CVCL_JD06	not available	Homo sapiens	not available	Age unspecified	Female	not available	not available	not available	Peripheral blood	28144; Extract 437; Extract 594
1156D15	CVCL_RY20	not available	Homo sapiens	<1D	not available	not available	not available	not available	not available	Umbilical cord blood	not available
1156D2	CVCL_RY21	not available	Homo sapiens	<1D	not available	not available	not available	not available	not available	Umbilical cord blood	not available
1156D5	CVCL_RY22	not available	Homo sapiens	<1D	not available	not available	not available	not available	not available	Umbilical cord blood	not available
1156QE/8	CVCL_2262	not available	Homo sapiens	22Y	not available	Male	not available	Embryonal carcinoma	not available	not available	1156QE; 11156-Q-E; 1156Q
11684232	CVCL_JE04	not available	Homo sapiens	not available	Age unspecified	Male	not available	not available	not available	Peripheral blood	TER288; TER-288; Ter 288
1173-mel	CVCL_A1DT	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1173-MEL
1174	CVCL_DI59	not available	Homo sapiens	not available	not available	not available	not available	Meningioma	not available	Brain, meninges	not available
1174-mel	CVCL_GR79	not available	Homo sapiens	53Y	not available	Male	not available	Melanoma	not available	Hypodermis	1174-MEL; 1174 mel; 1174mel; 1174MEL
1180	CVCL_E427	not available	Homo sapiens	not available	Age unspecified	Sex	not available	not available	B cell	Peripheral blood	HOEA
1180-mel	CVCL_GR80	not available	Homo sapiens	46Y	not available	Female	not available	Melanoma	not available	Hypodermis	1180-MEL; 1180mel; 1180MEL
1181	CVCL_E428	not available	Homo sapiens	not available	Age unspecified	Sex	African American	not available	B cell	Peripheral blood	HOVI
1181N1	CVCL_D317	not available	Homo sapiens	47Y	not available	Male	Caucasian	Astrocytoma	not available	Brain	118MG-1181N1
1182-mel	CVCL_8032	1182 cell	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1182-MEL; 1182 mel; 1182
11829109	CVCL_JD49	not available	Homo sapiens	not available	Age unspecified	Female	not available	not available	not available	Peripheral blood	36136; Extract 410; Extract 598
1183	CVCL_E429	not available	Homo sapiens	not available	Age unspecified	Sex	not available	not available	B cell	Peripheral blood	HODO
1184	CVCL_2263	not available	Homo sapiens	14FW	not available	Male	not available	not available	fibroblast of lung	Fetal lung	not available
11845457	CVCL_JC42	not available	Homo sapiens	not available	Age unspecified	Female	not available	not available	not available	Peripheral blood	35577; TER387; TER-387; Ter 387; TER497; TER-497; Ter-497; Ter 497; Extract 381
119-87T	CVCL_A2AE	not available	Homo sapiens	62Y	not available	Male	not available	Lung squamous cell carcinoma	not available	Lung	not available
1195-mel	CVCL_8033	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1195-MEL; 1195 mel; 1195
1196a	CVCL_ZJ39	not available	Homo sapiens	55Y	not available	Male	not available	not available	skin fibroblast	Skin, dermis	C3 iPSC
1199-mel	CVCL_8034	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Melanoma	not available	not available	1199-MEL; 1199 mel; 1199
11a	CVCL_8987	not available	Homo sapiens	36Y	not available	Male	not available	not available	skin fibroblast	Skin	iPS-11a; hiPS-11a; hiPS 11a; IPS cell line 11a; iPS11a
11b	CVCL_8988	not available	Homo sapiens	36Y	not available	Male	not available	not available	skin fibroblast	Skin	iPS-11b; hiPS-11b; hiPS 11b; iPS11b
11c	CVCL_8989	not available	Homo sapiens	36Y	not available	Male	not available	not available	skin fibroblast	Skin	iPS-11c; hiPS-11c; hiPS 11c
11CM	CVCL_VJ84	not available	Homo sapiens	not available	Age unspecified	Sex	not available	Cutaneous melanoma	not available	not available	11 CM
11Z	CVCL_0Q72	not available	Homo sapiens	not available	Age unspecified	Female	not available	Endometriosis	epithelial cell	Endometrium, epithelium	11-Z; Z11
12 040	CVCL_A0XI	not available	Homo sapiens	61Y	not available	Male	not available	Glioblastoma	not available	Brain, right temporal lobe	not available
12 041	CVCL_A0XJ	not available	Homo sapiens	56Y	not available	Female	not available	Glioblastoma	not available	not available	not available
12 046	CVCL_A0XK	not available	Homo sapiens	70Y	not available	Female	not available	Glioblastoma	not available	not available	not available
12 058	CVCL_A0XL	not available	Homo sapiens	77Y	not available	Male	not available	Glioblastoma	not available	Brain, left frontal lobe	not available
12 059	CVCL_A0XM	not available	Homo sapiens	66Y	not available	Female	not available	Glioblastoma	not available	Brain, left temporal lobe	not available
12 060	CVCL_A0XN	not available	Homo sapiens	50Y	not available	Male	not available	Glioblastoma	not available	Brain, left frontal lobe	not available
12 073	CVCL_A0XP	not available	Homo sapiens	91Y	not available	Male	not available	Glioblastoma	not available	Brain, right frontal lobe	not available
